event_id,homeTeam,awayTeam,homeGoals,awayGoals,h_player_0,h_position_0,h_score_0,h_player_1,h_position_1,h_score_1,h_player_2,h_position_2,h_score_2,h_player_3,h_position_3,h_score_3,h_player_4,h_position_4,h_score_4,h_player_5,h_position_5,h_score_5,h_player_6,h_position_6,h_score_6,h_player_7,h_position_7,h_score_7,h_player_8,h_position_8,h_score_8,h_player_9,h_position_9,h_score_9,h_player_10,h_position_10,h_score_10,a_player_11,a_position_11,a_score_11,a_player_12,a_position_12,a_score_12,a_player_13,a_position_13,a_score_13,a_player_14,a_position_14,a_score_14,a_player_15,a_position_15,a_score_15,a_player_16,a_position_16,a_score_16,a_player_17,a_position_17,a_score_17,a_player_18,a_position_18,a_score_18,a_player_19,a_position_19,a_score_19,a_player_20,a_position_20,a_score_20,a_player_21,a_position_21,a_score_21
8243642,Newcastle United,Norwich City,0,0,Martin Dúbravka,G,7.6,DeAndre Yedlin,D,6.7,Federico Fernández,D,7.8,Jamaal Lascelles,D,7.0,Ciaran Clark,D,7.5,Matt Ritchie,D,7.7,Miguel Almirón,M,6.3,Isaac Hayden,M,6.5,Nabil Bentaleb,M,7.2,Allan Saint-Maximin,M,7.6,Joelinton,F,6.8,Tim Krul,G,8.4,Max Aarons,D,7.1,Christoph Zimmermann,D,7.3,Grant Hanley,D,7.7,Sam Byram,D,7.4,Alexander Tettey,M,6.6,Kenny McLean,M,7.4,Lukas Rupp,M,6.4,Ondrej Duda,M,8.2,Todd Cantwell,M,6.2,Teemu Pukki,F,6.6
8243637,Bournemouth,Aston Villa,2,1,Aaron Ramsdale,G,6.9,Adam Smith,D,6.7,Simon Francis,D,7.3,Nathan Aké,D,7.4,Diego Rico,D,7.1,Dan Gosling,M,7.0,Jefferson Lerma,M,5.9,Philip Billing,M,8.3,Harry Wilson,F,7.2,Callum Wilson,F,6.8,Ryan Fraser,F,7.2,Pepe Reina,G,6.7,Ezri Konsa,D,6.2,Tyrone Mings,D,6.8,Kortney Hause,D,6.1,Frédéric Guilbert,M,6.8,Marvelous Nakamba,M,5.9,Douglas Luiz,M,7.1,Matt Targett,M,6.5,Anwar El Ghazi,F,6.7,Mbwana Samatta,F,7.3,Jack Grealish,F,8.5
8243645,Manchester United,Wolverhampton,0,0,David De Gea,G,7.4,Aaron Wan-Bissaka,D,7.8,Victor Lindelöf,D,7.4,Harry Maguire,D,7.6,Luke Shaw,D,7.6,Andreas Pereira,M,6.8,Fred,M,6.7,Juan Mata,M,6.6,Bruno Fernandes,M,6.8,Daniel James,M,6.6,Anthony Martial,F,6.8,Rui Patrício,G,7.7,Willy Boly,D,7.2,Conor Coady,D,7.1,Romain Saïss,D,7.5,Matt Doherty,M,6.9,Rúben Neves,M,7.7,João Moutinho,M,8.4,Jonny Otto,M,6.4,Adama Traoré,F,6.9,Raúl Jiménez,F,6.9,Diogo Jota,F,6.8
8243646,Burnley,Arsenal,0,0,Nick Pope,G,7.3,Matthew Lowton,D,7.4,James Tarkowski,D,7.2,Ben Mee,D,7.2,Charlie Taylor,D,6.8,Jeff Hendrick,M,7.1,Ashley Westwood,M,7.5,Jack Cork,M,6.3,Dwight McNeil,M,7.8,Chris Wood,F,7.1,Jay Rodriguez,F,6.8,Bernd Leno,G,7.5,Héctor Bellerín,D,7.3,Shkodran Mustafi,D,7.3,David Luiz,D,7.4,Bukayo Saka,D,6.7,Mattéo Guendouzi,M,6.3,Granit Xhaka,M,7.4,Gabriel Martinelli,M,6.4,Mesut Özil,M,6.8,Pierre-Emerick Aubameyang,M,6.0,Alexandre Lacazette,F,7.0
8243639,Tottenham,Manchester City,2,0,Hugo Lloris,G,8.5,Serge Aurier,D,7.1,Toby Alderweireld,D,7.5,Davinson Sánchez,D,7.3,Japhet Tanganga,D,7.5,Giovani Lo Celso,M,6.6,Harry Winks,M,6.8,Heung-Min Son,M,7.2,Dele Alli,M,6.6,Steven Bergwijn,M,7.2,Lucas Moura,F,6.9,Ederson,G,6.3,Kyle Walker,D,7.2,Nicolás Otamendi,D,6.5,Fernandinho,D,7.1,Oleksandr Zinchenko,D,6.2,Kevin De Bruyne,M,7.3,Rodri,M,6.3,İlkay Gündoğan,M,6.5,Riyad Mahrez,F,6.7,Sergio Agüero,F,6.8,Raheem Sterling,F,6.5
8243663,Everton,Crystal Palace,3,1,Jordan Pickford,G,5.9,Séamus Coleman,D,6.3,Yerry Mina,D,6.7,Michael Keane,D,6.9,Lucas Digne,D,7.4,Theo Walcott,M,7.3,Morgan Schneiderlin,M,7.5,Gylfi Sigurðsson,M,6.5,Bernard,M,7.4,Dominic Calvert-Lewin,F,7.8,Richarlison,F,8.1,Vicente Guaita,G,6.5,Joel Ward,D,6.2,James Tomkins,D,6.6,Gary Cahill,D,6.0,Patrick van Aanholt,D,6.2,Luka Milivojević,M,6.7,Jordan Ayew,M,6.4,James McCarthy,M,7.1,James McArthur,M,6.9,Wilfried Zaha,M,6.6,Christian Benteke,F,7.2
8243659,Brighton & Hove Albion,Watford,1,1,Mathew Ryan,G,6.6,Ezequiel Schelotto,D,6.2,Shane Duffy,D,6.8,Lewis Dunk,D,7.1,Dan Burn,D,6.2,Davy Pröpper,M,7.1,Aaron Mooy,M,6.6,Solly March,M,6.8,Pascal Groß,M,6.5,Leandro Trossard,M,7.3,Glenn Murray,F,7.0,Ben Foster,G,6.9,Adrian Mariappa,D,6.1,Christian Kabasele,D,6.5,Craig Cathcart,D,7.0,Adam Masina,D,6.9,Étienne Capoue,M,7.6,Will Hughes,M,6.6,Roberto Pereyra,M,6.7,Abdoulaye Doucouré,M,7.3,Gerard Deulofeu,M,6.9,Troy Deeney,F,6.4
8243654,Sheffield United,Bournemouth,2,1,Dean Henderson,G,6.8,Chris Basham,D,7.3,John Egan,D,6.8,Jack OConnell,D,7.3,George Baldock,M,7.1,Sander Berge,M,7.0,Oliver Norwood,M,6.6,John Fleck,M,7.0,Enda Stevens,M,7.0,Oliver McBurnie,F,7.4,Billy Sharp,F,7.7,Aaron Ramsdale,G,6.5,Adam Smith,D,6.5,Simon Francis,D,7.1,Nathan Aké,D,6.7,Diego Rico,D,6.3,Harry Wilson,M,6.8,Philip Billing,M,7.1,Andrew Surman,M,5.9,Dan Gosling,M,5.9,Ryan Fraser,M,7.4,Callum Wilson,F,7.4
8243729,Wolverhampton,Leicester City,0,0,Rui Patrício,G,7.5,Willy Boly,D,7.1,Conor Coady,D,7.1,Romain Saïss,D,6.9,Matt Doherty,M,7.0,Leander Dendoncker,M,6.7,Rúben Neves,M,7.5,Jonny Otto,M,7.3,Pedro Neto,F,7.0,Diogo Jota,F,6.8,Raúl Jiménez,F,6.5,Kasper Schmeichel,G,7.3,Ricardo Pereira,D,6.9,Jonny Evans,D,7.8,Çağlar Söyüncü,D,7.7,Ben Chilwell,D,6.8,Hamza Choudhury,M,6.7,Ayoze Pérez,M,6.2,Youri Tielemans,M,6.9,James Maddison,M,7.0,Harvey Barnes,M,6.1,Jamie Vardy,F,6.7
8243652,Southampton,Burnley,1,2,Alex McCarthy,G,6.2,Kyle Walker-Peters,D,6.2,Jack Stephens,D,6.5,Jannik Vestergaard,D,6.4,Ryan Bertrand,D,6.8,James Ward-Prowse,M,6.7,Pierre-Emile Højbjerg,M,6.9,Stuart Armstrong,M,6.6,Sofiane Boufal,M,6.5,Danny Ings,F,6.7,Shane Long,F,6.8,Nick Pope,G,6.4,Phil Bardsley,D,7.0,James Tarkowski,D,7.0,Ben Mee,D,6.8,Charlie Taylor,D,6.5,Jeff Hendrick,M,7.0,Ashley Westwood,M,7.7,Jack Cork,M,6.4,Dwight McNeil,M,6.9,Chris Wood,F,6.3,Jay Rodriguez,F,6.5
